Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2019-09-07 12:45:02.230,0,0,0,0,False,0,car,0 days 00:00:01.137000,0 days 00:00:01.137000
2019-09-07 12:45:02.470,0,0,0,0,False,0,car,0 days 00:00:01.377000,0 days 00:00:01.377000
2019-09-07 12:45:02.710,0,0,0,0,False,0,car,0 days 00:00:01.617000,0 days 00:00:01.617000
2019-09-07 12:45:02.990,0,0,0,0,False,0,car,0 days 00:00:01.897000,0 days 00:00:01.897000
2019-09-07 12:45:03.230,0,0,0,0,False,0,car,0 days 00:00:02.137000,0 days 00:00:02.137000
2019-09-07 12:45:03.470,0,0,0,0,False,0,car,0 days 00:00:02.377000,0 days 00:00:02.377000
2019-09-07 12:45:03.710,0,0,0,0,False,0,car,0 days 00:00:02.617000,0 days 00:00:02.617000
2019-09-07 12:45:03.950,0,0,0,0,False,0,car,0 days 00:00:02.857000,0 days 00:00:02.857000
2019-09-07 12:45:04.151,0,0,0,0,False,0,car,0 days 00:00:03.058000,0 days 00:00:03.058000
2019-09-07 12:45:04.391,0,0,0,0,False,0,car,0 days 00:00:03.298000,0 days 00:00:03.298000
2019-09-07 12:45:04.631,0,0,0,0,False,0,car,0 days 00:00:03.538000,0 days 00:00:03.538000
2019-09-07 12:45:04.911,0,0,0,0,False,0,car,0 days 00:00:03.818000,0 days 00:00:03.818000
2019-09-07 12:45:05.151,0,0,0,0,False,0,car,0 days 00:00:04.058000,0 days 00:00:04.058000
2019-09-07 12:45:05.391,0,0,0,0,False,0,car,0 days 00:00:04.298000,0 days 00:00:04.298000
2019-09-07 12:45:05.671,0,0,0,0,False,0,car,0 days 00:00:04.578000,0 days 00:00:04.578000
2019-09-07 12:45:05.911,0,0,0,0,False,0,car,0 days 00:00:04.818000,0 days 00:00:04.818000
2019-09-07 12:45:06.151,0,0,0,0,False,0,car,0 days 00:00:05.058000,0 days 00:00:05.058000
2019-09-07 12:45:06.391,0,0,0,0,False,0,car,0 days 00:00:05.298000,0 days 00:00:05.298000
2019-09-07 12:45:06.631,0,0,0,0,False,0,car,0 days 00:00:05.538000,0 days 00:00:05.538000
2019-09-07 12:45:06.911,0,0,0,0,False,0,car,0 days 00:00:05.818000,0 days 00:00:05.818000
2019-09-07 12:45:07.151,0,0,0,0,False,0,car,0 days 00:00:06.058000,0 days 00:00:06.058000
2019-09-07 12:45:07.431,0,0,0,0,False,0,car,0 days 00:00:06.338000,0 days 00:00:06.338000
2019-09-07 12:45:07.671,0,0,0,0,False,0,car,0 days 00:00:06.578000,0 days 00:00:06.578000
2019-09-07 12:45:07.951,0,0,0,0,False,0,car,0 days 00:00:06.858000,0 days 00:00:06.858000
2019-09-07 12:45:08.191,0,0,0,0,False,0,car,0 days 00:00:07.098000,0 days 00:00:07.098000
2019-09-07 12:45:08.431,0,0,0,0,False,0,car,0 days 00:00:07.338000,0 days 00:00:07.338000
2019-09-07 12:45:08.670,0,0,0,0,False,0,car,0 days 00:00:07.577000,0 days 00:00:07.577000
2019-09-07 12:45:08.910,0,0,0,0,False,0,car,0 days 00:00:07.817000,0 days 00:00:07.817000
2019-09-07 12:45:09.150,0,0,0,0,False,0,car,0 days 00:00:08.057000,0 days 00:00:08.057000
2019-09-07 12:45:09.390,0,0,0,0,False,0,car,0 days 00:00:08.297000,0 days 00:00:08.297000
2019-09-07 12:45:09.630,0,0,0,0,False,0,car,0 days 00:00:08.537000,0 days 00:00:08.537000
